N,P,K,temperature,humidity,ph,rainfall,label
104,25,51,28.96361426,93.88482153,6.469983276000002,23.56130173,muskmelon
19,7,10,14.78003032,91.22062116,6.118430299,100.1961762,orange
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,grapes
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans
119,30,28,26.35770906,64.57578034,6.5052036960000015,163.62694960000005,coffee
13,72,21,24.32116642,21.0278674,5.821194486,60.27552528,kidneybeans
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,kidneybeans
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana
99,6,45,26.12588914,86.5507939,6.000975617000001,40.71210074,watermelon
39,70,15,20.76774783,63.90164154,6.366355781,47.9271552,lentil
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,lentil
113,33,34,26.00373964,62.144510200000006,6.559817161000002,153.477776,coffee
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas
70,68,55,42.84609252,94.63548176,6.691202286,78.80996390000001,papaya
69,60,54,36.32268069,93.06134398,6.98992719,141.1736926,papaya
18,5,11,20.87947369,90.93756231,6.251586885,102.4550786,orange
34,47,19,27.31372793,85.44815232,6.568795403999999,53.15223123,mungbean
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
84,18,46,27.08808014,93.42402083,6.781050372999999,25.32159689,muskmelon
5,19,25,27.351105600000004,54.43945147,6.441328044,96.27792547,mango
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice
55,66,22,30.91219459,68.79427388,7.747775262999999,66.63830637,blackgram
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,lentil
71,54,35,26.63952463,70.95705996,7.311077075,199.3355744,jute
116,56,17,24.71252544,77.7293114,7.979090365,85.24963302,cotton
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,coffee
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
24,33,35,29.26382931,54.82257868,5.342866119,100.7586226,mango
83,29,52,25.76402693,87.5931128,6.704688865,46.05122728,watermelon
21,17,15,23.98289638,91.5473145,7.455991072000001,118.4901697,orange
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,watermelon
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans
33,61,24,20.04611791,48.93905624,4.567446499,122.4564203,pigeonpeas
125,39,21,25.03149561,82.21276599,7.954629324,95.0191318,cotton
136,36,20,23.09595631,84.86275707,6.925412377000001,71.29581071,cotton
7,144,195,22.96388477,93.58065995,5.85648105,104.64729859999998,apple
25,63,20,15.78601387,21.14544088,5.502999119,95.17028129,kidneybeans
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton
22,18,31,30.764551500000003,47.93791463,5.956027059,90.38503469,mango
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice
26,121,201,22.19109412,90.02575116,6.162034371,112.3126628,apple
3,136,205,17.5862944,80.84806564,6.334771461,71.40654520000002,grapes
33,134,205,21.0365275,94.33919546,6.08551916,114.7412734,apple
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram
9,25,41,24.81530144,91.90842992,5.972714857000001,109.2853418,pomegranate
42,60,47,33.46873719,92.12746225,6.834808347999999,136.8277041,papaya
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
29,25,35,28.3575072,91.64509299,5.542873799,160.73069909999995,coconut
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,mango
21,135,198,23.86087054,94.92048112,5.7650151260000015,105.0241329,apple
8,139,199,29.36947679,81.53996362,6.3364266670000005,66.13442813,grapes
33,15,7,15.83388699,91.68293851,7.651225301,109.7571416,orange
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
4,69,19,19.25100056,47.70351758,5.374358869,149.063196,pigeonpeas
13,7,43,18.20230419,91.12282162,7.013481515,109.66239740000002,pomegranate
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
105,74,45,25.14517635,81.38204104,6.098369122,119.218154,banana
35,55,22,30.88883074,52.62696801,8.634929739,55.51932414,mothbeans
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
9,48,20,29.66461594,84.28187572,6.377568542000001,56.09542002,mungbean
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram
106,21,35,25.627355,57.04151119,7.4285236339999985,188.5506536,coffee
108,36,19,22.78249615,77.51235009,7.238566893,64.61444234,cotton
26,18,30,32.06097197,51.08494181,6.336234623999999,96.59816497,mango
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
20,29,10,29.07412717,93.27189064,7.36549204,100.7896871,orange
107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,cotton
8,25,36,19.91330523,94.95031368,6.828522375,104.0277061,pomegranate
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
38,24,33,28.28905147,97.00396405,5.973853124,142.9403233,coconut
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans
8,38,32,29.75150773,46.73723302,4.981816523,91.405983,mango
26,24,34,31.27180992,52.23810152,6.811291098,89.74409017,mango
0,123,205,22.02775403,92.96129462,5.790993052,121.1349176,apple
114,8,52,29.34081108,94.5513539,6.419083092,28.22908103,muskmelon
37,77,20,25.93381964,68.70533022,7.080506001,51.02372773,lentil
5,21,38,22.43377991,90.3396556,6.107054807999999,112.459697,pomegranate
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana
36,144,196,23.65167552,94.50528753,6.496934492,115.3611268,apple
0,25,14,19.33516809,91.97978938,6.361671475,116.450422,orange
56,57,48,31.56213762,93.0484859,6.506120752,63.62250788,papaya
36,65,16,25.71269843,64.1123333,7.692013657,50.17067771,lentil
140,45,15,25.5308271,80.04662756,5.801047545,99.39557151,cotton
82,24,26,24.31274458,53.57285558,6.089443602999999,184.4103931,coffee
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil
1,135,203,22.77856513,92.70124029,5.624203283,113.7759219,apple
114,30,51,29.24908541,90.06998135,6.069171847000001,25.93496537,muskmelon
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,blackgram
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram
5,56,24,24.80710166,45.01110015,5.023115055,188.4928637,pigeonpeas
52,73,79,17.25769499,18.74943955,7.840339388999999,94.00287214,chickpea
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
123,44,21,25.78544484,75.00539324,7.6411165689999985,91.39578861,cotton
16,73,19,18.41645629,34.80541039,4.684079249,163.27474730000003,pigeonpeas
27,65,18,20.10993761,23.22323766,5.59503163,73.36386477,kidneybeans
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
100,58,41,23.17403323,87.88255345,6.6587699910000016,160.6217342,jute
34,29,8,31.87859192,91.15248149,6.450640306,105.3437825,orange
51,57,55,24.70528368,90.14732171,6.6764073370000006,108.4103158,papaya
32,12,30,25.39241091,98.08951196,5.579845008,218.080385,coconut
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,mothbeans
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
40,143,201,24.97256132,82.72828653,6.476757723,66.70016285,grapes
14,59,22,23.82723528,67.89815262,6.76660668,46.90725077,lentil
63,58,50,43.03714283,94.6428898,6.720744449,41.5856585,papaya
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea
16,143,204,23.71475278,91.53331177,5.631333387000001,121.8961665,apple
83,22,54,25.89762315,81.96664832,6.277245253999999,54.49960057,watermelon
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean
88,52,39,23.92887902,88.07112278,6.880204617,154.6608736,jute
59,47,53,32.86316618,91.4618874,6.8506632320000005,47.271547,papaya
14,8,43,21.92513945,94.46485312,7.051654924,111.71620159999998,pomegranate
5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,apple
81,40,45,25.7629429,80.76238215,6.427726565,174.5071843,jute
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
18,23,44,23.71028128,89.61794165,6.184400085,105.64999070000002,pomegranate
13,73,20,30.50420876,35.48885969,5.391560417999999,162.59277230000004,pigeonpeas
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,muskmelon
5,45,21,28.36291385,88.00989267,6.487124217000001,43.05130077,mungbean
25,68,19,29.39982732,64.25510719,7.1084501210000015,67.47677295,blackgram
90,39,37,24.81441246,81.68688879,6.86106911,190.7886386,jute
27,8,30,26.44600063,98.29937782,6.008386282999999,221.2258168,coconut
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
31,72,17,28.69180475,49.47225353,5.833031707999999,96.36222901,pigeonpeas
82,75,55,27.34585147,78.48738349999998,6.281069505,92.15524332,banana
36,140,198,23.34386401,91.47684705,6.28188384,104.4267991,apple
29,144,204,22.43324518,92.48667725,5.800448951,119.1025189,apple
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,lentil
56,50,52,33.08706051,92.25197542,6.770384816,88.1300769,papaya
19,53,22,27.8640132,80.4513142,6.852884642999999,42.83053902,mungbean
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas
120,20,34,23.56960509,50.56339727,6.906124587000001,130.3797119,coffee
30,7,15,33.23453301,91.06053924,7.825531916,115.7659902,orange
38,14,37,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
115,31,30,24.22984659,67.37768353,6.840927967000001,122.4073418,coffee
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
27,61,15,25.2653291,67.10004577,6.958054839,48.33941188,lentil
37,23,28,25.61294367,94.3138837,5.7400545670000005,224.3206759,coconut
108,35,25,23.98143338,61.10935084,6.971963169,161.5279095,coffee
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram
10,71,18,19.54284889,66.34777265,6.151029296,173.11069819999997,pigeonpeas
25,129,195,17.98667801,81.17712085,5.777271492000001,72.37127689,grapes
83,9,45,25.85483596,89.13163965,6.049609892,46.85176955,watermelon
29,25,14,30.49183837,90.4582865,7.781988584,113.3302105,orange
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice
30,63,16,23.60506572,21.90539577,5.5259045260000015,100.5978728,kidneybeans
45,61,78,19.48649305,16.06240074,6.489389282,81.52842690000001,chickpea
82,29,35,26.67377159,52.24226285,6.246872394,156.15438980000005,coffee
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
29,34,26,33.88004781,54.39416048,6.2739536760000005,89.29147581,mango
82,13,52,27.11535046,94.86907886,6.442810053,26.51924782,muskmelon
22,30,12,15.78144173,92.51077745,6.354006743999999,119.035002,orange
67,41,40,25.84879500000001,87.81661683,7.333143205,152.6194403,jute
88,50,40,25.63215038,79.95150917,7.0518224720000005,182.2582277,jute
113,20,48,27.46583649,94.87679041,6.440584681,27.27899847,muskmelon
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton
29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,apple
99,16,30,23.52652084,65.44340921,6.392791654,186.1728203,coffee
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean
6,64,23,23.33565221,67.40460704,7.065264073,36.18678721,lentil
90,15,52,27.04927452,91.3821731,6.448061578,23.65747461,muskmelon
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
26,56,22,23.05276444,60.424786,7.011121216,52.60285259,lentil
6,13,29,27.31155708,99.96906006,5.832608027999999,201.8258633,coconut
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea
33,59,22,22.64236876,21.59396123,5.946999529,122.3886015,kidneybeans
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,coffee
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,mothbeans
102,28,54,25.15623099,80.27525115,6.862157042000001,55.49541453,watermelon
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,blackgram
92,40,30,23.35723208,55.18792166,6.026287448,171.6976946,coffee
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,pigeonpeas
93,43,38,23.61475336,86.14290267,6.987332927000001,150.2355238,jute
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
4,134,200,28.57828803,80.95628959,5.840256272,73.34232097,grapes
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes
50,47,48,24.63676897,90.61964344,6.712772332999999,218.2299187,papaya
28,37,28,32.13409675,50.52559148,6.097869767000001,98.63333684,mango
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,mothbeans
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,kidneybeans
16,130,201,29.12033769,82.79092939,5.682395429,68.8503047,grapes
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
0,12,7,20.18432263,90.65458473,6.969249676,116.8130969,orange
114,40,17,24.32630461,80.13456404,6.363406102000001,69.45072055,cotton
8,72,17,20.57341244,19.7520218,5.711439256,87.87869161,kidneybeans
26,73,21,31.33170829,57.97429171,4.946263888,161.7820226,pigeonpeas
37,73,21,29.50304807,63.46513414,5.560224582999999,189.5208915,pigeonpeas
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,grapes
18,12,35,26.13958446,96.38580769,6.338720873,131.3387935,coconut
101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
12,20,39,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
127,37,18,24.87663664,76.30050373,7.041065585,91.9223468,cotton
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
4,44,19,27.95639663,83.52706038,6.921993877999999,43.25726752,mungbean
30,28,30,31.86641378,52.19331595,5.064613314,98.46768642,mango
4,14,41,19.85139326,89.80732335,6.430163481,102.8186358,pomegranate
89,9,47,29.47156259,90.77069618,6.6683827660000015,28.75226067,muskmelon
13,22,5,19.667056,90.50096668,7.764040111,100.1737964,orange
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
117,81,53,29.50704598,78.20585613,5.507641777999999,98.12565829,banana
77,52,41,23.89069041,83.46409075,6.097294061,167.72306319999996,jute
104,18,30,23.60301571,60.39647474,6.779832611000002,140.9370415,coffee
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram
20,45,16,29.93964907,54.61813464,4.626212446,45.43669946,mothbeans
115,12,52,27.51492243,94.96218673,6.685553129,21.01796432,muskmelon
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,grapes
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
102,37,25,25.31468463,77.91757121,5.907930899,72.82902109,cotton
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes
13,75,20,30.55992394,35.29006485,6.979540061,178.8998611,pigeonpeas
33,14,8,21.03200078,92.9641969,7.684420446,110.6823944,orange
35,57,25,27.0956288,42.26206161,8.340398059,71.12710390000002,mothbeans
26,32,32,30.91471455,49.92963856,6.810186079,90.14047759,mango
94,37,41,24.7634518,87.06071115,6.4635387070000005,179.1630865,jute
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,mango
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,lentil
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans
4,36,22,27.60887393,86.13316408,7.012740397000001,43.80041104,mungbean
34,48,48,41.04224355,91.37258067,6.805277038,181.527598,papaya
19,24,15,20.48954522,93.72485075,7.137136973,111.83919509999998,orange
95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana
33,14,35,27.14865285,96.66355213,6.027707171,149.2433497,coconut
37,36,26,32.89300162,52.61323969,4.650536197,94.49161372,mango
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,blackgram
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
106,21,52,28.89578588,94.78993038,6.286515359,23.0362503,muskmelon
24,80,19,29.67892453,69.0854554,6.8080417220000005,65.66436565,blackgram
96,41,40,23.58419277,72.00460848,6.090060478,190.4242157,jute
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
11,14,5,11.50322938,94.8933184,6.946354724,115.56837759999998,orange
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,lentil
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
2,38,18,27.53632932,89.92908171,6.619891497999999,45.48591922,mungbean
131,60,17,25.32023717,81.79475917,7.4250413160000015,83.46532547,cotton
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton
99,19,33,27.536454700000004,55.51673151,6.273741983,130.6377143,coffee
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,mungbean
4,67,25,23.78709569,24.35679348,5.948164454,119.6404412,kidneybeans
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean
26,18,42,19.72620525,89.64934166,6.910374919,108.22872759999998,pomegranate
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil
36,67,20,20.39078312,60.47528931,6.924042372000001,53.31508572,lentil
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice
104,23,47,26.98212846,86.70068316,6.770434148,42.91292205,watermelon
76,56,39,24.39459498,89.89106506,6.551130445,197.1220049,jute
30,20,38,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
10,75,17,18.43966037,68.05394959,7.732194787999999,39.00992137,lentil
56,76,16,28.27265858,61.18956161,7.5131510760000015,63.29900785,blackgram
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,grapes
38,19,31,34.73823882,49.08864345,5.855119267999999,90.65022183,mango
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
91,38,36,26.5232969,77.17331847,7.287318722999999,157.8548562,jute
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
136,36,24,22.74446976,80.41198458,7.59781958,90.07326633,cotton
89,52,45,24.89326318,77.01222585,7.207457207999999,196.469984,jute
22,64,82,19.48974337,17.17260319,6.4740245000000005,87.51312796,chickpea
32,11,31,29.51611558,92.56492864,6.461225827000001,131.2116167,coconut
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean
1,76,17,28.43430726,52.10010827,6.012719118,147.0414824,pigeonpeas
108,92,53,27.40053601,82.96221306,6.276800323,104.9378,banana
89,85,55,26.671983500000003,76.48541655,6.275384607,91.73358569,banana
18,57,21,27.37659643,63.93927841,6.155915975,49.47371773,lentil
6,37,17,28.08657178,80.35005927,6.760694227999999,38.14476781,mungbean
56,58,49,37.13165026,94.60761797,6.69215564,172.47880619999995,papaya
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans
84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,watermelon
28,10,30,29.8690834,91.14723422,6.305740522000001,192.7678575,coconut
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
38,15,27,33.7462686,48.50387598,6.777788126,92.26439205,mango
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes
39,42,20,29.3499706,61.25353851,8.055908857999999,40.82840673,mothbeans
58,67,45,38.72382798,91.72514851,6.702424548,62.62377075,papaya
18,14,11,28.04799508,90.00621688,6.550814117000001,117.1311498,orange
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice
30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,coconut
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram
10,78,18,18.54141834,62.70637578,6.296976913,44.07819743,lentil
81,18,50,26.44019475,80.91934337,6.507110986,47.81847573,watermelon
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango
3,18,31,31.65333432,48.20662669,6.392313972999999,91.09745581,mango
3,60,19,25.74679443,40.7192594,4.820788186000001,100.7791633,pigeonpeas
32,14,37,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
22,60,24,18.78226261,20.24768314,5.630664753,104.2570723,kidneybeans
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
37,5,34,25.79490531,93.84150618,5.779032666,152.42387119999995,coconut
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,kidneybeans
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
8,26,36,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
64,53,38,26.24347471,78.51063754,6.855362875,183.4065252,jute
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,lentil
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
38,55,19,33.18184225,38.23184742,5.864623352000001,198.8298806,pigeonpeas
9,8,40,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,mothbeans
34,60,16,31.35730791,64.24992106,7.322555222999999,63.85668948,blackgram
70,68,45,33.83508569,92.85470152,6.991626158,203.4044028,papaya
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,coffee
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
18,26,31,32.611261400000004,47.74916499,5.418475257000001,91.10190759,mango
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea
119,5,55,29.68846716,94.30111601,6.168757984,26.83924845,muskmelon
8,33,29,29.98080499,49.48613279,6.442393461,91.82271568,mango
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram
108,26,52,28.82629037,94.26765349,6.201797639,26.23838511,muskmelon
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,pigeonpeas
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
12,29,13,22.45616931,91.52781832,7.57125447,118.0069295,orange
23,30,44,20.93892916,85.42912869,6.12476108,103.0295938,pomegranate
7,20,12,16.53460397,94.76759975,6.475275337,110.0447896,orange
32,79,22,27.60195453,63.46170674,5.91645379,54.37814199,lentil
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
34,45,21,28.18837136,82.60629652,6.2873801170000005,37.01110438,mungbean
0,19,33,27.1326009,95.23797989,6.234458417000001,204.7206567,coconut
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
14,23,25,26.18552389,96.96637916,5.6121227970000005,135.4186222,coconut
40,45,20,29.37687468,57.69622912,6.878498176,38.34303462,mothbeans
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,mothbeans
40,49,47,42.93368602,91.1756748,6.501521192,246.36132680000003,papaya
31,20,26,25.56567803,97.61361544,6.443168642000001,199.7936345,coconut
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,watermelon
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,grapes
103,33,33,26.71717393,50.50148528,7.131435858,126.8073984,coffee
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
10,5,42,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate
24,55,78,17.30287885,15.15405941,6.64919573,75.57790384,chickpea
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,mango
40,9,41,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean
107,43,18,22.426733,81.53480799,6.745104394,65.54475812,cotton
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,mungbean
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans
